timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1679593887729,6,S01_T01_LaunchApp-26,200,,Thread Group 1-1,text,true,,531,411,4,4,http://localhost:8080/api/v1/product/52/price/,6,0,0
1679593887787,8,S01_T01_LaunchApp-27,200,,Thread Group 1-1,text,true,,529,411,4,4,http://localhost:8080/api/v1/product/50/price/,8,0,0
1679593887818,14,S01_T01_LaunchApp-28,200,,Thread Group 1-1,text,true,,529,411,4,4,http://localhost:8080/api/v1/product/50/price/,13,0,0
1679593887877,10,S01_T01_LaunchApp-29,200,,Thread Group 1-1,text,true,,531,410,4,4,http://localhost:8080/api/v1/product/1/price/,10,0,0
1679593887900,10,S01_T01_LaunchApp-30,200,,Thread Group 1-1,text,true,,531,411,4,4,http://localhost:8080/api/v1/product/51/price/,9,0,0
1679593887990,11,S01_T01_LaunchApp-31,200,,Thread Group 1-1,text,true,,531,411,4,4,http://localhost:8080/api/v1/product/52/price/,10,0,0
1679593888067,22,S01_T01_LaunchApp-32,200,,Thread Group 1-1,text,true,,531,411,4,4,http://localhost:8080/api/v1/product/51/price/,21,0,0
1679593885781,1604,S01_T01_LaunchApp,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-5,,true,,29970,16803,4,4,null,0,1807,0
1679593885878,4,S01_T01_LaunchApp-00,200,,Thread Group 1-5,text,true,,460,348,4,4,http://localhost:8080/,4,0,0
1679593885945,56,S01_T01_LaunchApp-01,200,OK,Thread Group 1-5,text,true,,1907,580,4,4,https://fonts.googleapis.com/css?family=Cormorant+Garamond%3A300%2C400%2C500%2C600%2C700%7CPoppins%3A300%2C400%2C500%2C600%2C700%2C800%2C900%7CJosefin+Sans%3Awght%40300%3B400%3B500%3B600%3B700%7CAbril+Fatface%7CGreat+Vibe%7CLobster&display=swap,55,0,0
1679593886094,27,S01_T01_LaunchApp-02,404,,Thread Group 1-5,text,true,,689,403,4,4,http://localhost:8080/static/media/fontawesome-webfont.af6df524.woff2,25,0,0
1679593886158,363,S01_T01_LaunchApp-03,200,OK,Thread Group 1-5,text,true,,828,1664,4,4,https://incoming.telemetry.mozilla.org/submit/activity-stream/sessions/1/3d08cd42-c87c-429c-9973-d196a8938128,363,0,0
1679593886597,9,S01_T01_LaunchApp-04,200,,Thread Group 1-5,,true,,533,397,4,4,http://localhost:8080/actuator/health/ping,9,0,0
1679593886635,4,S01_T01_LaunchApp-05,200,,Thread Group 1-5,text,true,,450,340,4,4,http://localhost:8080/actuator/health/ping,4,0,0
1679593886729,25,S01_T01_LaunchApp-06,200,,Thread Group 1-5,,true,,533,420,4,4,http://localhost:8080/api/v1/content/boxes/headerMessage/?lang=en,25,0,0
1679593886802,100,S01_T01_LaunchApp-07,200,,Thread Group 1-5,,true,,533,427,4,4,http://localhost:8080/api/v1/products/group/FEATURED_ITEM?store=&lang=en,100,0,0
1679593886978,266,S01_T01_LaunchApp-08,200,OK,Thread Group 1-5,text,true,,892,2558,4,4,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/newtab/1/33c51a44-b38d-4d44-9cdf-4c67051b7163,265,0,0
1679593887267,27,S01_T01_LaunchApp-09,404,,Thread Group 1-5,text,true,,522,363,4,4,http://localhost:8080/api/v1/content/boxes/headerMessage/?lang=en,22,0,0
